Date,TeamName,EloScore
09/01/1978,Penn State,1510
09/01/1978,Temple,1490
09/02/1978,East Carolina,1510
09/02/1978,Western Carolina,1490
09/02/1978,Nebraska,1490
09/02/1978,Alabama,1510
09/02/1978,Southern Miss,1510
09/02/1978,Richmond,1490
09/02/1978,Arkansas State,1490
09/02/1978,Tulsa,1510
09/02/1978,Texas-Arlington,1490
09/02/1978,Drake,1510
09/02/1978,Eastern Michigan,1490
09/02/1978,Northern Michigan,1510
09/02/1978,West Texas A+M,1490
09/02/1978,Mississippi State,1510
09/02/1978,UTEP,1490
09/02/1978,North Texas,1510
09/03/1978,Utah State,1510
09/03/1978,Idaho State,1490
09/09/1978,Northwestern,1500
09/09/1978,Illinois,1500
09/09/1978,Missouri,1510
09/09/1978,Notre Dame,1490
09/09/1978,Long Beach State,1510
09/09/1978,UL-Lafayette,1490
09/09/1978,Marshall,1510
09/09/1978,Toledo,1490
09/09/1978,Florida State,1510
09/09/1978,Syracuse,1490
09/09/1978,Nicholls State,1490
09/09/1978,UL-Monroe,1510
09/09/1978,Texas A+M,1510
09/09/1978,Kansas,1490
09/09/1978,Virginia,1490
09/09/1978,Wake Forest,1510
09/09/1978,Memphis,1490
09/09/1978,Mississippi,1510
09/09/1978,Nevada-Las Vegas,1490
09/09/1978,Washington State,1510
09/09/1978,Wofford,1490
09/09/1978,Appalachian State,1510
09/09/1978,Bowling Green,1490
09/09/1978,Villanova,1510
09/09/1978,Brigham Young,1510
09/09/1978,Oregon State,1490
09/09/1978,California,1490
09/09/1978,Nebraska,1500
09/09/1978,Richmond,1480
09/09/1978,West Virginia,1510
09/09/1978,Chattanooga,1510
09/09/1978,Western Kentucky,1490
09/09/1978,Mississippi State,1520
09/09/1978,North Texas,1500
09/09/1978,Texas Tech,1490
09/09/1978,Southern Cal,1510
09/09/1978,Southern Miss,1520
09/09/1978,Arkansas State,1480
09/09/1978,Miami-Ohio,1490
09/09/1978,Ball State,1510
09/09/1978,U.C.L.A.,1510
09/09/1978,Washington,1490
09/09/1978,New Hampshire,1490
09/09/1978,Holy Cross,1510
09/09/1978,New Mexico State,1510
09/09/1978,Indiana State,1490
09/09/1978,Iowa State,1510
09/09/1978,Rice,1490
09/09/1978,Southern Illinois,1490
09/09/1978,Drake,1520
09/09/1978,Virginia Military,1490
09/09/1978,William + Mary,1510
09/09/1978,Lamar,1490
09/09/1978,Northwestern St(LA),1510
09/09/1978,Oklahoma State,1490
09/09/1978,Wichita State,1510
09/09/1978,New Mexico,1490
09/09/1978,Hawaii,1510
09/09/1978,Kent State,1490
09/09/1978,Central Michigan,1510
09/09/1978,West Texas A+M,1500
09/09/1978,Texas-Arlington,1480
09/09/1978,Oregon,1490
09/09/1978,Colorado,1510
09/09/1978,Pacific,1490
09/09/1978,Arizona State,1510
09/09/1978,Tennessee Tech,1510
09/09/1978,Western Carolina,1480
09/09/1978,Fullerton State,1490
09/09/1978,Boise State,1510
09/09/1978,Fresno State,1490
09/09/1978,McNeese State,1510
09/09/1978,Air Force,1510
09/09/1978,UTEP,1480
09/09/1978,Furman,1490
09/09/1978,South Carolina,1510
09/09/1978,Rutgers,1490
09/09/1978,Penn State,1520
09/09/1978,Texas Christian,1490
09/09/1978,S-M-U,1510
09/09/1978,Illinois State,1490
09/09/1978,Western Michigan,1510
09/09/1978,South Dakota State,1490
09/09/1978,Louisville,1510
09/09/1978,Georgia Tech,1490
09/09/1978,Duke,1510
09/09/1978,Idaho State,1480
09/09/1978,Utah,1510
09/09/1978,Presbyterian,1490
09/09/1978,The Citadel,1510
09/09/1978,East Carolina,1500
09/09/1978,No Carolina State,1510
09/09/1978,Oklahoma,1510
09/09/1978,Stanford,1490
09/09/1978,Kansas State,1490
09/09/1978,Arizona,1510
09/09/1978,Tulane,1490
09/09/1978,Maryland,1510
09/09/1978,Eastern Michigan,1480
09/09/1978,Ohio,1510
09/09/1978,Idaho,1490
09/09/1978,San Jose State,1510
09/09/1978,Tulsa,1520
09/09/1978,Virginia Tech,1490
09/16/1978,U.C.L.A.,1520
09/16/1978,Tennessee,1490
09/16/1978,San Diego State,1490
09/16/1978,Iowa State,1520
09/16/1978,Alabama,1520
09/16/1978,Missouri,1500
09/16/1978,Kentucky,1500
09/16/1978,South Carolina,1510
09/16/1978,Oregon State,1480
09/16/1978,Arizona,1520
09/16/1978,New Mexico,1500
09/16/1978,Wichita State,1500
09/16/1978,Northwestern St(LA),1520
09/16/1978,Stephen F Austin,1490
09/16/1978,Nevada-Reno,1510
09/16/1978,Nevada-Las Vegas,1480
09/16/1978,Holy Cross,1520
09/16/1978,Colgate,1490
09/16/1978,UC-Davis,1510
09/16/1978,Pacific,1480
09/16/1978,Fresno State,1500
09/16/1978,Weber State,1490
09/16/1978,Baylor,1490
09/16/1978,Georgia,1510
09/16/1978,Houston,1490
09/16/1978,Memphis,1500
09/16/1978,Texas,1510
09/16/1978,Rice,1480
09/16/1978,Miami-Florida,1490
09/16/1978,Colorado,1520
09/16/1978,William + Mary,1520
09/16/1978,Connecticut,1490
09/16/1978,Maryland,1520
09/16/1978,Louisville,1500
09/16/1978,Pittsburgh,1510
09/16/1978,Tulane,1480
09/16/1978,Central Michigan,1520
09/16/1978,Miami-Ohio,1480
09/16/1978,Virginia Tech,1500
09/16/1978,Wake Forest,1500
09/16/1978,Long Beach State,1500
09/16/1978,Boise State,1520
09/16/1978,Western Kentucky,1500
09/16/1978,Illinois State,1480
09/16/1978,Northwestern,1490
09/16/1978,Iowa,1510
09/16/1978,Utah State,1520
09/16/1978,Colorado State,1490
09/16/1978,Southern Illinois,1500
09/16/1978,Lamar,1480
09/16/1978,Michigan State,1490
09/16/1978,Purdue,1510
09/16/1978,Temple,1500
09/16/1978,Drake,1510
09/16/1978,Arkansas State,1470
09/16/1978,UL-Monroe,1520
09/16/1978,Bowling Green,1500
09/16/1978,Eastern Michigan,1470
09/16/1978,South Dakota,1490
09/16/1978,Wyoming,1510
09/16/1978,Western Carolina,1470
09/16/1978,Illinois,1490
09/16/1978,Michigan,1510
09/16/1978,East Tennessee St,1510
09/16/1978,Western Michigan,1520
09/16/1978,Northern Illinois,1490
09/16/1978,Richmond,1470
09/16/1978,Wisconsin,1510
09/16/1978,Kansas,1480
09/16/1978,Washington,1500
09/16/1978,Villanova,1520
09/16/1978,Massachusetts,1490
09/16/1978,Auburn,1510
09/16/1978,Kansas State,1480
09/16/1978,Chattanooga,1520
09/16/1978,Louisiana Tech,1490
09/16/1978,Carson-Newman,1490
09/16/1978,Furman,1500
09/16/1978,California,1500
09/16/1978,Georgia Tech,1480
09/16/1978,Santa Clara,1490
09/16/1978,Fullerton State,1500
09/16/1978,Air Force,1520
09/16/1978,Boston College,1490
09/16/1978,Western Illinois,1490
09/16/1978,Indiana State,1500
09/16/1978,Lafayette,1490
09/16/1978,Army,1510
09/16/1978,Appalachian State,1520
09/16/1978,Marshall,1500
09/16/1978,Toledo,1480
09/16/1978,Minnesota,1510
09/16/1978,Brigham Young,1500
09/16/1978,Arizona State,1520
09/16/1978,UTEP,1470
09/16/1978,New Mexico State,1520
09/16/1978,UL-Lafayette,1480
09/16/1978,Tulsa,1530
09/16/1978,Oklahoma State,1480
09/16/1978,Florida State,1520
09/16/1978,Indiana,1490
09/16/1978,Louisiana State,1510
09/16/1978,San Jose State,1500
09/16/1978,Stanford,1500
09/16/1978,Vanderbilt,1490
09/16/1978,Arkansas,1510
09/16/1978,Bucknell,1490
09/16/1978,Virginia Military,1500
09/16/1978,Southern Cal,1520
09/16/1978,Oregon,1480
09/16/1978,West Virginia,1500
09/16/1978,Oklahoma,1520
