GameDate,VisitingTeamName,VisitingTeamScore,HomeTeamName,HomeTeamScore,Line
09/01/1978,Penn State,10,Temple,7,-24.5
09/02/1978,East Carolina,14,Western Carolina,6,
09/02/1978,Southern Miss,10,Richmond,7,
09/02/1978,Nebraska,3,Alabama,20,11.5
09/02/1978,Arkansas State,20,Tulsa,21,1
09/02/1978,Texas-Arlington,23,Drake,25,
09/02/1978,West Texas A+M,0,Mississippi State,28,12
09/02/1978,Eastern Michigan,3,Northern Michigan,30,
09/02/1978,UTEP,0,North Texas,49,
09/03/1978,Utah State,10,Idaho State,0,
09/09/1978,Northwestern,0,Illinois,0,11
09/09/1978,Missouri,3,Notre Dame,0,17
09/09/1978,Long Beach State,10,UL-Lafayette,0,
09/09/1978,Marshall,17,Toledo,0,
09/09/1978,Florida State,28,Syracuse,0,-1.5
09/09/1978,Nicholls State,0,UL-Monroe,3,
09/09/1978,Mississippi State,17,North Texas,5,4
09/09/1978,Brigham Young,10,Oregon State,6,-5
09/09/1978,Southern Miss,21,Arkansas State,6,
09/09/1978,U.C.L.A.,10,Washington,7,-1
09/09/1978,New Mexico State,14,Indiana State,9,
09/09/1978,Virginia Military,3,William + Mary,10,
09/09/1978,West Texas A+M,18,Texas-Arlington,10,
09/09/1978,Texas A+M,37,Kansas,10,-12
09/09/1978,Virginia,0,Wake Forest,14,2
09/09/1978,Memphis,7,Mississippi,14,10.5
09/09/1978,Richmond,12,West Virginia,14,11
09/09/1978,Chattanooga,42,Western Kentucky,15,
09/09/1978,Texas Tech,9,Southern Cal,17,18
09/09/1978,New Hampshire,14,Holy Cross,19,
09/09/1978,Iowa State,23,Rice,19,-19
09/09/1978,Oklahoma State,10,Wichita State,20,-10.5
09/09/1978,Tennessee Tech,22,Western Carolina,20,
09/09/1978,Fresno State,16,McNeese State,21,
09/09/1978,Lamar,17,Northwestern St(LA),21,
09/09/1978,New Mexico,16,Hawaii,22,
09/09/1978,Eastern Michigan,22,Ohio,23,
09/09/1978,Oregon,7,Colorado,24,20.5
09/09/1978,Air Force,34,UTEP,25,
09/09/1978,Rutgers,10,Penn State,26,21
09/09/1978,Illinois State,17,Western Michigan,27,
